,name,date,county,size,%_contained,high_temp,low_temp,high_humidity,low_humidity,wind_speed,wind_gust,fuel_temp,fuel_moisture,max_radiation,peak_wind_direction
212,Lisa Fire,7/2/2017,Riverside,11,100,79.44,54.12,65.04,17.16,1.753000000000001,4.223200000000002,25.444700000000008,4.3469999999999995,306.61,249.54
213,Canyon Fire,7/3/2017,Riverside,10,100,77.76,53.32,41.44,8.76,1.8202000000000007,4.321700000000003,26.7722,3.9539999999999993,297.5,241.51
214,Lambs Fire,6/18/2017,Riverside,10,100,86.48,59.32,37.56,10.64,1.7079999999999995,4.196399999999999,27.772400000000008,4.441999999999999,326.31,244.21
215,Springs Fire,6/16/2017,Riverside,10,100,81.56,56.72,33.76,10.4,1.770500000000001,4.2543,26.094699999999992,4.498000000000001,328.86,251.41
216,Shirleon Fire,6/4/2017,Riverside,10,100,81.72,56.52,52.2,15.2,1.6853000000000018,4.1116,23.600400000000004,6.246000000000002,327.2,249.3
217,Moreno Fire,5/23/2017,Riverside,10,100,72.44,49.48,38.48,9.76,2.1685999999999996,5.1181,19.0948,6.481,326.73,246.89
218,Moraga Fire,5/18/2017,Riverside,14,100,61.72,38.68,67.24,14.32,1.9230000000000018,5.582800000000002,18.21159999999999,7.677000000000001,328.55,180.41
219,Minerva Fire,7/29/2017,Plumas,4310,100,66.5,40.166666666666664,41.583333333333336,11.0,1.5346000000000013,3.5760999999999994,0.6334000000000001,3.5760999999999994,286.13,27.011500000000005
220,Chilcoot Fire,8/6/2017,Plumas,1020,100,67.58333333333333,44.833333333333336,59.0,21.666666666666668,1.7218000000000009,4.211099999999999,0.5333,4.211099999999999,268.13,23.333699999999993
221,Toll Fire,8/20/2017,Plumas,186,100,74.25,45.416666666666664,50.416666666666664,13.0,0.44739999999999985,1.1801000000000001,0.5832999999999999,1.1801000000000001,225.61,25.467000000000013
222,Eureka Fire,9/5/2017,Plumas,2575,100,70.41666666666667,43.833333333333336,42.666666666666664,10.416666666666666,2.0752000000000006,5.328500000000002,0.5889,5.328500000000002,188.38,22.105500000000003
223,Mills File,9/3/2017,Plumas,79,100,64.5,38.416666666666664,31.833333333333332,7.166666666666667,1.7313999999999996,4.849699999999999,0.6833,4.849699999999999,199.12,24.8613
225,Canyon Fire,9/25/2017,Orange,2662,100,77.0,65.0,76.0,20.0,4.144199999999999,7.022699999999995,25.010600000000014,5.31,216.19,178.77
236,Canyon Fire,8/11/2017,Napa,114,100,87.0,68.0,65.0,40.0,4.992900000000001,6.995600000000003,24.71099999999999,8.465000000000002,311.43,248.59
237,Refuge Fire,6/13/2017,Napa,22,100,76.0,51.0,76.0,36.0,4.345100000000001,7.040300000000002,23.005,8.633000000000003,354.63,238.34
238,Parkfield Fire,7/8/2017,"Monterey, San Luis Obispo",1816,100,106.0,66.83333333333333,43.666666666666664,9.166666666666666,1.9431500000000015,4.2556,28.54415,4.132499999999999,297.615,198.1
239,Country Fire,8/7/2017,Monterey,82,100,91.0,54.5,89.33333333333333,27.5,1.8915000000000008,3.575699999999999,22.249899999999997,7.181,302.75,219.53
